name,date,venue,venue_code
フェブラリーS,2024-02-18,東京,05
高松宮記念,2024-03-24,中京,07
大阪杯,2024-03-31,阪神,09
桜花賞,2024-04-07,阪神,09
皐月賞,2024-04-14,中山,06
天皇賞(春),2024-04-28,京都,08
NHKマイルC,2024-05-05,東京,05
ヴィクトリアM,2024-05-12,東京,05
オークス,2024-05-19,東京,05
日本ダービー,2024-05-26,東京,05
安田記念,2024-06-02,東京,05
宝塚記念,2024-06-23,京都,08
スプリンターズS,2024-09-29,中山,06
秋華賞,2024-10-13,京都,08
菊花賞,2024-10-20,京都,08
天皇賞(秋),2024-10-27,東京,05
エリザベス女王杯,2024-11-10,京都,08
マイルCS,2024-11-17,京都,08
ジャパンC,2024-11-24,東京,05
チャンピオンズC,2024-12-01,中山,06
有馬記念,2024-12-22,中山,06
