race_id,race_name,horse_number,horse_name,year,month,day_of_week,venue_code,race_number,age,weight,sex_encoded,popularity,odds_numeric,last_3f,horse_weight_kg,horse_weight_change,field_size,race_avg_odds,race_avg_weight,trainer_name,trainer_encoded,trainer_frequency,jockey_name,jockey_encoded,jockey_frequency,race_type_encoded,corner_rank_4,horse_win_rate,jockey_win_rate,trainer_win_rate
202511230811,マイルチャンピオンシップ,1,ワイドラトゥール,2025,11,6,8,11,4,56.0,1,5,15.0,33.5,470,0,18,149.94444444444446,57.5,藤原英昭,1,200,北村友一,1,180,1,4,0.15,0.18,0.22
202511230811,マイルチャンピオンシップ,2,ロングラン,2025,11,6,8,11,7,58.0,0,13,210.0,33.8,480,0,18,149.94444444444446,57.5,和田勇,2,150,岩田康誠,2,200,1,5,0.12,0.16,0.15
202511230811,マイルチャンピオンシップ,3,レーベンスティール,2025,11,6,8,11,5,58.0,0,2,4.5,33.4,490,2,18,149.94444444444446,57.5,田中博,3,180,レーン,3,220,1,3,0.18,0.25,0.2
202511230811,マイルチャンピオンシップ,4,ラヴァンダ,2025,11,6,8,11,4,56.0,1,15,360.0,33.9,465,-3,18,149.94444444444446,57.5,中村直,4,160,岩田望来,4,170,1,6,0.13,0.14,0.16
202511230811,マイルチャンピオンシップ,5,マジックサンズ,2025,11,6,8,11,3,57.0,0,1,2.5,33.3,485,4,18,149.94444444444446,57.5,須貝尚,5,220,武豊,5,250,1,2,0.2,0.21,0.24
202511230811,マイルチャンピオンシップ,6,ドックランズ,2025,11,6,8,11,5,58.0,0,9,65.0,33.7,492,0,18,149.94444444444446,57.5,Hユー,6,170,ザーラ,6,190,1,4,0.16,0.17,0.18
202511230811,マイルチャンピオンシップ,7,トウシンマカオ,2025,11,6,8,11,6,58.0,0,16,450.0,34.0,478,-2,18,149.94444444444446,57.5,高柳瑞,7,140,団野大成,7,160,1,7,0.11,0.13,0.14
202511230811,マイルチャンピオンシップ,8,チェルヴィニア,2025,11,6,8,11,4,56.0,1,8,45.0,33.6,468,3,18,149.94444444444446,57.5,木村哲,8,175,マーカン,8,210,1,5,0.14,0.19,0.17
202511230811,マイルチャンピオンシップ,9,ソウルラッシュ,2025,11,6,8,11,7,58.0,0,6,20.0,33.9,482,0,18,149.94444444444446,57.5,池江泰,9,210,Cデムー,9,230,1,6,0.13,0.2,0.19
202511230811,マイルチャンピオンシップ,10,ジャンタルマンタル,2025,11,6,8,11,4,58.0,0,4,10.0,33.2,488,2,18,149.94444444444446,57.5,高野友,10,200,川田将雅,10,240,1,1,0.19,0.23,0.21
202511230811,マイルチャンピオンシップ,11,シャンパンカラー,2025,11,6,8,11,5,58.0,0,10,90.0,33.8,476,-1,18,149.94444444444446,57.5,田中剛,11,165,坂井瑠星,11,185,1,5,0.15,0.17,0.17
202511230811,マイルチャンピオンシップ,12,ガイアフォース,2025,11,6,8,11,6,58.0,0,12,160.0,34.1,495,1,18,149.94444444444446,57.5,杉山晴,12,190,横山武史,12,195,1,8,0.12,0.16,0.16
202511230811,マイルチャンピオンシップ,13,カンチェンジュンガ,2025,11,6,8,11,5,58.0,0,14,280.0,33.7,483,0,18,149.94444444444446,57.5,庄野靖,13,155,藤岡佑介,13,175,1,4,0.14,0.15,0.15
202511230811,マイルチャンピオンシップ,14,オフトレイル,2025,11,6,8,11,4,58.0,0,7,30.0,33.5,487,3,18,149.94444444444446,57.5,吉村圭,14,170,菅原明良,14,190,1,3,0.17,0.18,0.18
202511230811,マイルチャンピオンシップ,15,エルトンバローズ,2025,11,6,8,11,5,58.0,0,11,120.0,33.9,479,-2,18,149.94444444444446,57.5,杉山晴,12,190,西村淳也,15,200,1,6,0.14,0.17,0.16
202511230811,マイルチャンピオンシップ,16,ウォーターリヒト,2025,11,6,8,11,5,58.0,0,17,550.0,34.2,472,0,18,149.94444444444446,57.5,石橋守,15,130,高杉吏麒,16,140,1,9,0.1,0.11,0.13
202511230811,マイルチャンピオンシップ,17,ウインマーベル,2025,11,6,8,11,6,58.0,0,14,280.0,34.0,486,1,18,149.94444444444446,57.5,深山雅,16,160,松山弘平,17,180,1,7,0.12,0.15,0.15
202511230811,マイルチャンピオンシップ,18,アスコリピチェーノ,2025,11,6,8,11,4,56.0,1,3,7.0,33.4,473,2,18,149.94444444444446,57.5,黒岩陽,17,185,ルメール,18,260,1,2,0.16,0.26,0.19
