race_id,race_name,race_date,venue_code,race_number,horse_number,horse_name,sex_encoded,age,weight,popularity,odds_numeric,last_3f,horse_weight_kg,horse_weight_change,trainer_encoded,trainer_frequency,jockey_encoded,jockey_frequency,year,month,day_of_week,field_size,race_avg_odds,race_avg_weight,race_type_encoded
20251123_tokyo_01,東京1R,2025-11-23,5,1,1,1番馬,0,7,58.0,1,2.5,36.394633936788146,460,1,1,61,1,61,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,2,2番馬,2,6,56.0,2,4.5,34.7272998688284,462,4,2,49,2,86,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,3,3番馬,0,3,57.0,3,7.0,34.55797544260817,470,-2,3,63,3,69,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,4,4番馬,0,4,55.0,4,10.0,36.430179407605756,461,-8,4,41,4,107,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,5,5番馬,2,6,57.0,5,15.0,34.390688456025536,497,-4,5,54,5,61,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,6,6番馬,2,3,57.0,6,20.0,35.246844304357644,486,0,6,56,6,69,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,7,7番馬,2,5,58.0,7,30.0,37.579309401710596,491,-4,7,48,7,101,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,8,8番馬,0,3,57.0,8,45.0,34.56369689989905,506,-6,8,42,8,109,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,9,9番馬,1,3,54.0,9,65.0,37.26184571381933,499,3,9,42,9,77,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,10,10番馬,0,6,57.0,10,90.0,35.3235920994106,454,3,10,49,10,76,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,11,11番馬,1,5,55.0,11,120.0,35.8888597006478,458,3,11,56,11,98,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,12,12番馬,0,4,57.0,12,160.0,34.10167650697638,457,3,12,40,12,91,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,13,13番馬,0,4,58.0,13,210.0,34.9971689165955,478,-3,13,42,13,74,2025,11,5,16,116.8125,56.4375,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,14,14番馬,0,6,58.0,14,280.0,36.533615026041694,511,2,14,64,14,69,2025,11,5,16,116.8125,56.4375,0
